Date,Last,SettlementPrice,Change,% Change,Bid,Ask,Open Interest,CVol
02/23/18,,4023.40 ,0.00 ,0.00 ,,,,
02/22/18,4023.40 ,4023.40 ,74.80 ,1.89 ,,,27643.00 ,12424.00 
02/21/18,,3948.60 ,0.00 ,0.00 ,,,,
02/20/18,,3948.60 ,0.00 ,0.00 ,,,,
02/16/18,,3948.60 ,0.00 ,0.00 ,,,,
02/15/18,,3948.60 ,0.00 ,0.00 ,,,,
02/14/18,3948.60 ,3948.60 ,40.80 ,1.04 ,,,25380.00 ,12481.00 
02/13/18,3907.80 ,3907.80 ,39.40 ,1.02 ,,,22983.00 ,10534.00 
02/12/18,3868.40 ,3868.40 ,99.60 ,2.64 ,,,21652.00 ,12846.00 
02/09/18,3768.80 ,3768.80 ,-231.40 ,-5.78 ,,,20099.00 ,6882.00 
02/08/18,4000.20 ,4000.20 ,-47.80 ,-1.18 ,,,19413.00 ,7745.00 
02/07/18,4048.00 ,4048.00 ,-94.00 ,-2.27 ,,,19041.00 ,7011.00 
02/06/18,4142.00 ,4142.00 ,-123.20 ,-2.89 ,,,18021.00 ,3826.00 
02/05/18,4265.20 ,4265.20 ,-13.00 ,-0.30 ,,,17817.00 ,3919.00 
02/02/18,4278.20 ,4278.20 ,39.20 ,0.92 ,,,17798.00 ,4022.00 
02/01/18,4239.00 ,4239.00 ,-40.20 ,-0.94 ,,,17419.00 ,3570.00 
01/31/18,4279.20 ,4279.20 ,-4.80 ,-0.11 ,,,17142.00 ,3075.00 
01/30/18,4284.00 ,4284.00 ,-42.80 ,-0.99 ,,,17036.00 ,3797.00 
01/29/18,4326.80 ,4326.80 ,-88.60 ,-2.01 ,,,16629.00 ,2523.00 
01/26/18,4415.40 ,4415.40 ,23.20 ,0.53 ,,,16660.00 ,2979.00 
01/25/18,4392.20 ,4392.20 ,-17.60 ,-0.40 ,,,16758.00 ,3110.00 
01/24/18,4409.80 ,4409.80 ,19.00 ,0.43 ,,,16737.00 ,3048.00 
01/23/18,4390.80 ,4390.80 ,40.40 ,0.93 ,,,16708.00 ,2975.00 
01/22/18,4350.40 ,4350.40 ,59.40 ,1.38 ,,,16960.00 ,3476.00 
01/19/18,4291.00 ,4291.00 ,19.00 ,0.44 ,,,6357.00 ,11591.00 
01/18/18,4272.00 ,4272.00 ,20.00 ,0.47 ,,,13150.00 ,17051.00 
01/17/18,4252.00 ,4252.00 ,3.00 ,0.07 ,,,17846.00 ,15653.00 
01/16/18,4249.00 ,4249.00 ,25.60 ,0.61 ,,,20405.00 ,16457.00 
01/12/18,4223.40 ,4223.40 ,13.40 ,0.32 ,,,22539.00 ,12802.00 
01/11/18,4210.00 ,4210.00 ,6.00 ,0.14 ,,,23717.00 ,14317.00 
01/10/18,4204.00 ,4204.00 ,14.40 ,0.34 ,,,23372.00 ,13392.00 
01/09/18,4189.60 ,4189.60 ,31.40 ,0.76 ,,,24043.00 ,13194.00 
01/08/18,4158.20 ,4158.20 ,12.20 ,0.29 ,,,23720.00 ,12629.00 
01/05/18,4146.00 ,4146.00 ,16.40 ,0.40 ,,,24097.00 ,13158.00 
01/04/18,4129.60 ,4129.60 ,2.80 ,0.07 ,,,24465.00 ,16132.00 
01/03/18,4126.80 ,4126.80 ,31.20 ,0.76 ,,,24471.00 ,14290.00 
01/02/18,4095.60 ,4095.60 ,58.20 ,1.44 ,,,24631.00 ,12676.00 
12/29/17,4037.40 ,4037.40 ,7.40 ,0.18 ,,,25759.00 ,14808.00 
12/28/17,4030.00 ,4030.00 ,26.20 ,0.65 ,,,25960.00 ,16135.00 
12/27/17,4003.80 ,4003.80 ,-63.60 ,-1.56 ,,,26402.00 ,15143.00 
12/26/17,4067.40 ,4067.40 ,-2.00 ,-0.05 ,,,25971.00 ,14448.00 
12/22/17,4069.40 ,4069.40 ,-17.80 ,-0.44 ,,,26615.00 ,18722.00 
