Date,Price
02/23/18,4071.09 
02/22/18,4052.73 
02/14/18,3966.96 
02/13/18,3935.63 
02/12/18,3890.10 
02/09/18,3840.65 
02/08/18,4012.05 
02/07/18,4050.50 
02/06/18,4148.89 
02/05/18,4274.15 
02/02/18,4271.23 
02/01/18,4245.90 
01/31/18,4275.90 
01/30/18,4256.10 
01/29/18,4302.02 
01/26/18,4381.30 
01/25/18,4365.08 
01/24/18,4389.89 
01/23/18,4382.61 
01/22/18,4336.60 
01/19/18,4285.40 
01/18/18,4271.42 
01/17/18,4248.12 
01/16/18,4258.47 
01/15/18,4225.24 
01/12/18,4225.00 
01/11/18,4205.59 
01/10/18,4207.81 
01/09/18,4189.30 
01/08/18,4160.16 
01/05/18,4138.75 
01/04/18,4128.81 
01/03/18,4111.39 
01/02/18,4087.40 
12/29/17,4030.85 
12/28/17,4018.90 
12/27/17,3991.21 
12/26/17,4053.62 
12/25/17,4041.54 
12/22/17,4054.60 
12/21/17,4067.85 
12/20/17,4030.49 
12/19/17,4035.33 
12/18/17,3985.29 
12/15/17,3980.86 
12/14/17,4026.15 
12/13/17,4050.09 
12/12/17,4016.02 
12/11/17,4069.50 
12/08/17,4003.38 
12/07/17,3971.06 
12/06/17,4015.82 
12/05/17,4040.17 
12/04/17,4018.86 
12/01/17,3998.14 
11/30/17,4006.10 
11/29/17,4053.75 
11/28/17,4055.82 
11/27/17,4049.95 
11/24/17,4104.20 
11/23/17,4102.40 
11/22/17,4227.57 
11/21/17,4217.70 
11/20/17,4143.83 
11/17/17,4120.85 
11/16/17,4105.01 
11/15/17,4073.67 
11/14/17,4099.35 
11/13/17,4128.07 
11/10/17,4111.91 
11/09/17,4075.90 
11/08/17,4048.01 
11/07/17,4054.25 
11/06/17,4020.89 
11/03/17,3992.70 
11/02/17,3997.13 
11/01/17,3996.62 
10/31/17,4006.72 
10/30/17,4009.72 
10/27/17,4021.97 
10/26/17,3993.58 
10/25/17,3976.95 
10/24/17,3959.40 
10/23/17,3930.80 
10/20/17,3926.85 
10/19/17,3931.25 
10/18/17,3944.16 
10/17/17,3913.07 
10/16/17,3913.45 
10/13/17,3921.00 
10/12/17,3912.95 
10/11/17,3902.69 
10/10/17,3889.86 
10/09/17,3882.21 
09/29/17,3836.50 
09/28/17,3822.54 
09/27/17,3821.20 
09/26/17,3820.78 
09/25/17,3817.79 
09/22/17,3837.73 
09/21/17,3837.82 
09/20/17,3842.44 
09/19/17,3832.12 
09/18/17,3843.14 
09/15/17,3831.30 
09/14/17,3829.96 
09/13/17,3842.61 
09/12/17,3837.93 
09/11/17,3825.65 
09/08/17,3825.99 
09/07/17,3829.87 
09/06/17,3849.45 
09/05/17,3857.05 
09/04/17,3845.62 
09/01/17,3830.54 
08/31/17,3822.09 
08/30/17,3834.30 
08/29/17,3834.54 
08/28/17,3842.71 
08/25/17,3795.75 
08/24/17,3734.65 
08/23/17,3756.09 
08/22/17,3752.30 
08/21/17,3740.99 
08/18/17,3724.67 
08/17/17,3721.28 
08/16/17,3701.42 
08/15/17,3706.06 
08/14/17,3694.68 
08/11/17,3647.35 
08/10/17,3715.92 
08/09/17,3731.04 
08/08/17,3732.21 
08/07/17,3726.79 
08/04/17,3707.58 
08/03/17,3727.83 
08/02/17,3760.85 
08/01/17,3770.38 
07/31/17,3737.87 
07/28/17,3721.89 
07/27/17,3712.19 
07/26/17,3705.39 
07/25/17,3719.56 
07/24/17,3743.47 
07/21/17,3728.60 
07/20/17,3747.88 
07/19/17,3729.75 
07/18/17,3667.18 
07/17/17,3663.56 
07/14/17,3703.09 
07/13/17,3686.92 
07/12/17,3658.82 
07/11/17,3670.81 
07/10/17,3653.69 
07/07/17,3655.93 
07/06/17,3660.10 
07/05/17,3659.68 
07/04/17,3619.98 
07/03/17,3650.85 
06/30/17,3666.80 
06/29/17,3668.83 
06/28/17,3646.17 
06/27/17,3674.72 
06/26/17,3668.09 
06/23/17,3622.88 
06/22/17,3590.34 
06/21/17,3587.96 
06/20/17,3546.49 
06/19/17,3553.67 
06/16/17,3518.76 
06/15/17,3528.79 
06/14/17,3535.30 
06/13/17,3582.27 
06/12/17,3574.39 
06/09/17,3576.17 
06/08/17,3560.98 
06/07/17,3533.87 
06/06/17,3492.88 
06/05/17,3468.75 
06/02/17,3486.51 
06/01/17,3497.74 
05/31/17,3492.88 
05/26/17,3480.43 
05/25/17,3485.66 
05/24/17,3424.17 
05/23/17,3424.19 
05/22/17,3411.24 
05/19/17,3403.85 
05/18/17,3398.11 
05/17/17,3409.97 
05/16/17,3428.65 
05/15/17,3399.19 
05/12/17,3385.38 
05/11/17,3356.65 
05/10/17,3337.70 
05/09/17,3352.53 
05/08/17,3358.81 
05/05/17,3382.55 
05/04/17,3404.39 
05/03/17,3413.13 
05/02/17,3426.58 
04/28/17,3439.75 
04/27/17,3446.72 
04/26/17,3445.18 
04/25/17,3440.97 
04/24/17,3431.26 
04/21/17,3466.79 
04/20/17,3461.55 
04/19/17,3445.88 
04/18/17,3462.74 
04/17/17,3479.94 
04/14/17,3486.50 
04/13/17,3514.57 
04/12/17,3509.44 
04/11/17,3517.33 
04/10/17,3505.14 
04/07/17,3517.46 
04/06/17,3514.05 
04/05/17,3503.89 
03/31/17,3456.05 
03/30/17,3436.76 
03/29/17,3465.19 
03/28/17,3469.81 
