Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/23/18,31267.17 ,0.00 ,301.49 ,0.97 ,,,31289.08 ,31386.81 ,31149.32 
02/22/18,30965.68 ,,-466.21 ,-1.48 ,,,31084.45 ,31195.27 ,30930.10 
02/21/18,31431.89 ,,558.26 ,1.81 ,,,31050.52 ,31477.85 ,30885.95 
02/20/18,30873.63 ,,-241.80 ,-0.78 ,,,31165.29 ,31339.69 ,30720.48 
02/15/18,31115.43 ,,599.83 ,1.97 ,,,30958.71 ,31145.10 ,30816.65 
02/14/18,30515.60 ,,676.07 ,2.27 ,,,30024.47 ,30637.23 ,29968.54 
02/13/18,29839.53 ,,379.90 ,1.29 ,,,29850.15 ,30169.00 ,29783.10 
02/12/18,29459.63 ,,-47.79 ,-0.16 ,,,29713.08 ,29801.52 ,29459.63 
02/09/18,29507.42 ,,-943.85 ,-3.10 ,,,29679.21 ,29679.21 ,29129.26 
02/08/18,30451.27 ,,128.07 ,0.42 ,,,30555.80 ,30739.11 ,30251.32 
02/07/18,30323.20 ,,-272.22 ,-0.89 ,,,31378.35 ,31472.47 ,30292.15 
02/06/18,30595.42 ,,-1649.80 ,-5.12 ,,,31028.68 ,31286.03 ,30577.83 
02/05/18,32245.22 ,,-356.56 ,-1.09 ,,,31715.56 ,32394.87 ,31712.02 
02/02/18,32601.78 ,,-40.31 ,-0.12 ,,,32569.01 ,32778.51 ,32321.42 
02/01/18,32642.09 ,,-245.18 ,-0.75 ,,,32950.30 ,33048.04 ,32642.09 
01/31/18,32887.27 ,,279.98 ,0.86 ,,,32435.76 ,32933.98 ,32330.39 
01/30/18,32607.29 ,,-359.60 ,-1.09 ,,,32751.72 ,32976.75 ,32501.35 
01/29/18,32966.89 ,,-187.23 ,-0.56 ,,,33335.48 ,33484.08 ,32897.04 
01/26/18,33154.12 ,,499.67 ,1.53 ,,,32836.28 ,33223.58 ,32794.13 
01/25/18,32654.45 ,,-304.24 ,-0.92 ,,,32979.38 ,32998.05 ,32650.22 
