Date,Last,Settlement Price
02/23/18,2746.4,2748.8
02/22/18,2713.9,2711.5
02/21/18,2697.9,2698.7
02/20/18,2715.4,2714.1
02/16/18,2736.1,2735
02/15/18,2735.1,2733.9
02/14/18,2696.4,2696.9
02/13/18,2663.2,2661.7
2002/12/18,2652.6,2655.2
2002/9/18,2621.1,2619.1
2002/8/18,2596.4,2593.4
2002/7/18,2668.5,2668.2
2002/6/18,2684.1,2694.3
2002/5/18,2621.5,2607.7
2002/2/18,2756.9,2756.7
2002/1/18,2823.7,2822.4
01/31/18,2826.3,2825.8
01/30/18,2823.1,2824.5
01/29/18,2852.9,2853.6
01/26/18,2874.8,2874.5
01/25/18,2842.3,2841.2
01/24/18,2840.9,2841
01/23/18,2838.3,2839.6
01/22/18,2835.7,2835.2
01/19/18,2812.8,2811
01/18/18,2797.1,2796.2
01/17/18,2803.7,2803.7
01/16/18,2783.1,2782.6
2001/12/18,2789.3,2788.7
2001/11/18,2769.4,2769.5
2001/10/18,2750.7,2750.6
2001/9/18,2750.3,2752.3
2001/8/18,2747.2,2746.8
2001/5/18,2742.2,2742.6
2001/4/18,2724.8,2723.8
2001/3/18,2709.1,2710.9
2001/2/18,2693.8,2692.9
12/29/17,2682.5,2676
12/28/17,2685.4,2685.7
12/27/17,2685.2,2685.4
12/26/17,2687.4,2687.1
12/22/17,2686,2686.1
12/21/17,2686.9,2687.8
12/20/17,2681.6,2681.6
12/19/17,2684.7,2684.1
12/18/17,2695.4,2694.4
12/15/17,2682.9,2682
12/14/17,2652.7,2655.9
12/13/17,2669.2,2669.1
2012/12/17,2668.4,2667.8
2012/11/17,2666.3,2664.5
2012/8/17,2654.6,2653.9
2012/7/17,2642.4,2642.2
2012/6/17,2631.4,2629.2
2012/5/17,2627.7,2628.3
2012/4/17,2636.4,2638.2
2012/1/17,2642.8,2643.9
11/30/17,2642.2,2647.9
11/29/17,2625.4,2625.1
11/28/17,2625.6,2626
11/27/17,2602.7,2601.8
11/24/17,2600.5,2601
11/22/17,2593.5,2594.6
11/21/17,2596,2596.3
11/20/17,2582.6,2582.1
11/17/17,2575.8,2576.3
11/16/17,2585.1,2585
11/15/17,2564.2,2565.1
11/14/17,2577.5,2577.9
11/13/17,2580.8,2581.9
2011/10/17,2578.7,2579.6
2011/9/17,2583.3,2583.9
2011/8/17,2590.7,2590.9
2011/7/17,2585.8,2586.8
2011/6/17,2588.4,2588.7
2011/3/17,2581.4,2582.7
2011/2/17,2577.6,2576.7
2011/1/17,2572.7,2574.8
10/31/17,2572.4,2572.7
10/30/17,2568.2,2568.3
10/27/17,2577.1,2578.4
10/26/17,2562.1,2561.6
10/25/17,2559.4,2558.5
10/24/17,2564.9,2567.3
10/23/17,2562.8,2563.4
10/20/17,2573.6,2574
10/19/17,2560.9,2560.5
10/18/17,2560.2,2560.1
10/17/17,2556.9,2556.9
10/16/17,2555.7,2556.2
10/13/17,2552.8,2552.8
2010/12/17,2548.7,2549.4
2010/11/17,2552.7,2553
2010/10/17,2548.9,2548.5
2010/9/17,2543.3,2543.8
2010/6/17,2544.9,2545.1
2010/5/17,2549.4,2549.9
2010/4/17,2535.7,2536.2
2010/3/17,2532.8,2532.8
2010/2/17,2527.7,2526.3
09/29/17,2517.3,2516.1
09/28/17,2507.9,2507.7
09/27/17,2503.9,2504.5
09/26/17,2495.1,2495.6
09/25/17,2497.8,2497
09/22/17,2499.6,2499.4
09/21/17,2500.6,2500.9
09/20/17,2504.9,2505.2
09/19/17,2503.5,2504.7
09/18/17,2502.8,2502.7
09/15/17,2499.7,2497.2
09/14/17,2494,2494.3
09/13/17,2494.9,2494.7
2009/12/17,2494.8,2494.2
2009/11/17,2486.7,2485.8
2009/8/17,2460.9,2461
2009/7/17,2464.8,2464.7
2009/6/17,2464.4,2465.5
2009/5/17,2460.2,2459.7
2009/1/17,2474,2474.2
08/31/17,2470.6,2470.1
08/30/17,2455.8,2455.8
08/29/17,2447,2447.1
08/28/17,2444.4,2443.7
08/25/17,2442.3,2442.5
08/24/17,2442.4,2440.8
08/23/17,2439.7,2441.5
08/22/17,2453.6,2452.8
08/21/17,2428.4,2428
08/18/17,2425.1,2426.8
08/17/17,2427.4,2429.5
08/16/17,2466.6,2467.5
08/15/17,2464.4,2463.7
08/14/17,2465.1,2463.5
2008/11/17,2440.3,2440.1
2008/10/17,2434.4,2437.6
2008/9/17,2474.1,2473
2008/8/17,2471.6,2472.8
2008/7/17,2477.6,2477.4
2008/4/17,2471.9,2472.1
2008/3/17,2470.3,2471.7
2008/2/17,2473.7,2473.5
2008/1/17,2474.1,2472.3
07/31/17,2468.7,2468
07/28/17,2470.6,2470.3
07/27/17,2472.1,2471.9
07/26/17,2474.1,2473.3
07/25/17,2475.3,2474.1
07/24/17,2467.1,2468.4
07/21/17,2469.6,2469.4
07/20/17,2473,2471.2
07/19/17,2471.3,2471.4
07/18/17,2460.3,2457.8
07/17/17,2459.4,2458.6
07/14/17,2457.4,2456.1
07/13/17,2446.1,2445.6
2007/12/17,2440.9,2440.1
2007/11/17,2424.8,2424.5
2007/10/17,2424.2,2424.6
2007/7/17,2423,2422.6
2007/6/17,2408.6,2408.4
2007/5/17,2428.5,2428
2007/3/17,2425.2,2425
06/30/17,2421.9,2420.9
06/29/17,2421.4,2420
06/28/17,2442,2438.4
06/27/17,2417.7,2420.6
06/26/17,2436,2436
06/23/17,2431.9,2434.9
06/22/17,2431.4,2431.8
06/21/17,2432.2,2433.6
06/20/17,2436.6,2437.5
06/19/17,2447.9,2447.5
06/16/17,2434.2,2431
06/15/17,2431.9,2432.1
06/14/17,2434.2,2435.3
06/13/17,2438.3,2438
2006/12/17,2427.1,2426.4
2006/9/17,2428.1,2428.3
2006/8/17,2432,2430.2
2006/7/17,2431.9,2431.9
2006/6/17,2429.8,2430.8
2006/5/17,2435.1,2434.5
2006/2/17,2437.4,2437.7
2006/1/17,2429.6,2429.6
05/31/17,2414.4,2411.1
05/30/17,2411.2,2410.7
05/26/17,2414.4,2413.8
05/25/17,2413.1,2413.4
05/24/17,2403.7,2401.9
05/23/17,2397.3,2398
05/22/17,2393.6,2392.7
05/19/17,2382.4,2381.5
05/18/17,2363.6,2363.6
05/17/17,2356.4,2357.5
05/16/17,2397.4,2397.1
05/15/17,2400.1,2398.4
2005/12/17,2388.7,2388.7
2005/11/17,2390.6,2391.1
2005/10/17,2394.9,2395.3
2005/9/17,2392.8,2393.3
2005/8/17,2394.7,2395
2005/5/17,2398.9,2397.7
2005/4/17,2386.4,2385.5
2005/3/17,2382.3,2383.2
2005/2/17,2384.8,2385.8
2005/1/17,2386.9,2386.9
04/28/17,2380.4,2380.5
04/27/17,2387.4,2386.1
04/26/17,2381.9,2382.2
04/25/17,2383.8,2385
04/24/17,2370.4,2370
04/21/17,2345.4,2347.4
04/20/17,2352.1,2352.1
04/19/17,2332.5,2333.7
04/18/17,2338.1,2337.3
04/17/17,2345.3,2345
04/13/17,2327.4,2327.4
2004/12/17,2339.3,2340.8
2004/11/17,2351.6,2351.1
2004/10/17,2353.9,2352.5
2004/7/17,2352.9,2352.2
2004/6/17,2354.9,2353.7
2004/5/17,2345.2,2346.6
2004/4/17,2358.7,2356.6
2004/3/17,2354.6,2356.1
03/31/17,2357.8,2359.2
03/30/17,2365.2,2364.6
03/29/17,2356.8,2357
03/28/17,2351.9,2351.4
03/27/17,2339.7,2338.4
03/24/17,2342.4,2344.8
03/23/17,2340.9,2340
03/22/17,2341.9,2342.6
03/21/17,2340.7,2342.2
03/20/17,2369.3,2370.3
