Date,Price
02/23/18,2747.30 
02/22/18,2703.96 
02/21/18,2701.33 
02/20/18,2716.26 
02/16/18,2732.22 
02/15/18,2731.20 
02/14/18,2698.63 
02/13/18,2662.94 
2002/12/18,2656.00 
2002/9/18,2619.55 
2002/8/18,2581.00 
2002/7/18,2681.66 
2002/6/18,2695.14 
2002/5/18,2648.94 
2002/2/18,2762.13 
2002/1/18,2821.98 
01/31/18,2823.81 
01/30/18,2822.43 
01/29/18,2853.53 
01/26/18,2872.87 
01/25/18,2839.25 
01/24/18,2837.54 
01/23/18,2839.13 
01/22/18,2832.97 
01/19/18,2810.30 
01/18/18,2798.03 
01/17/18,2802.56 
01/16/18,2776.42 
2001/12/18,2786.24 
2001/11/18,2767.56 
2001/10/18,2748.23 
2001/9/18,2751.29 
2001/8/18,2747.71 
2001/5/18,2743.15 
2001/4/18,2723.99 
2001/3/18,2713.06 
2001/2/18,2695.81 
12/29/17,2673.61 
12/28/17,2687.54 
12/27/17,2682.62 
12/26/17,2680.50 
12/22/17,2683.34 
12/21/17,2684.57 
12/20/17,2679.25 
12/19/17,2681.47 
12/18/17,2690.16 
12/15/17,2675.81 
12/14/17,2652.01 
12/13/17,2662.85 
2012/12/17,2664.11 
2012/11/17,2659.99 
2012/8/17,2651.50 
2012/7/17,2636.98 
2012/6/17,2629.27 
2012/5/17,2629.57 
2012/4/17,2639.44 
2012/1/17,2642.22 
11/30/17,2647.58 
11/29/17,2626.07 
11/28/17,2627.04 
11/27/17,2601.42 
11/24/17,2602.42 
11/22/17,2597.08 
11/21/17,2599.03 
11/20/17,2582.14 
11/17/17,2578.85 
11/16/17,2585.64 
11/15/17,2564.62 
11/14/17,2578.87 
11/13/17,2584.84 
2011/10/17,2582.30 
2011/9/17,2584.62 
2011/8/17,2594.38 
2011/7/17,2590.64 
2011/6/17,2591.13 
2011/3/17,2587.84 
2011/2/17,2579.85 
2011/1/17,2579.36 
10/31/17,2575.26 
10/30/17,2572.83 
10/27/17,2581.07 
10/26/17,2560.40 
10/25/17,2557.15 
10/24/17,2569.13 
10/23/17,2564.98 
10/20/17,2575.21 
10/19/17,2562.10 
10/18/17,2561.26 
10/17/17,2559.36 
10/16/17,2557.64 
10/13/17,2553.17 
2010/12/17,2550.93 
2010/11/17,2555.24 
2010/10/17,2550.64 
2010/9/17,2544.73 
2010/6/17,2549.33 
2010/5/17,2552.07 
2010/4/17,2537.74 
2010/3/17,2534.58 
2010/2/17,2529.12 
09/29/17,2519.36 
09/28/17,2510.06 
09/27/17,2507.04 
09/26/17,2496.84 
09/25/17,2496.66 
09/22/17,2502.22 
09/21/17,2500.60 
09/20/17,2508.24 
09/19/17,2506.65 
09/18/17,2503.87 
09/15/17,2500.23 
09/14/17,2495.62 
09/13/17,2498.37 
2009/12/17,2496.48 
2009/11/17,2488.11 
2009/8/17,2461.43 
2009/7/17,2465.10 
2009/6/17,2465.54 
2009/5/17,2457.85 
2009/1/17,2476.55 
08/31/17,2471.65 
08/30/17,2457.59 
08/29/17,2446.30 
08/28/17,2444.24 
08/25/17,2443.05 
08/24/17,2438.97 
08/23/17,2444.04 
08/22/17,2452.51 
08/21/17,2428.37 
08/18/17,2425.55 
